tf	gene	motif	force
AHR	41157	1	3.1299145068471677
AR	41157	0	-1.0094928852686826
ARID3A	41157	0	-0.7300523886802782
ARNT	41157	1	3.0567668363747993
BRCA1	41157	0	-0.3733579839913144
CEBPA	41157	0	-0.40526512458506975
CREB1	41157	0	-0.9270485994797323
DDIT3	41157	0	-0.791508322988307
E2F1	41157	0	-0.5271560715912836
EGR1	41157	1	2.7617290868015445
ELK1	41157	0	-0.8208211508217376
ELK4	41157	0	-0.9854178632233763
EN1	41157	0	-1.0599391925019197
ESR1	41157	0	-0.6282468208505875
ESR2	41157	0	-0.6237191812763836
ETS1	41157	1	2.7253949043221666
EWSR1	41157	0	-0.9438554493277531
FLI1	41157	0	-0.9418560434034361
FOXA1	41157	0	-0.9627916836271784
FOXA2	41157	0	-0.8585191961574389
FOXD3	41157	0	-1.0074074477865964
FOXF2	41157	0	-0.9470638129895667
GABPA	41157	0	-0.482032234054858
GATA1	41157	0	-0.7408627863240443
GATA2	41157	1	2.724886530492612
GATA3	41157	0	-0.7166047431219289
HAND1	41157	0	-0.6575234850136186
HIF1A	41157	1	4.093724237749561
HLF	41157	0	-1.0360089569484978
HNF4A	41157	0	-0.8655781259146693
HOXA5	41157	0	-0.944715676791672
IRF1	41157	0	-1.084494468103674
IRF2	41157	0	-0.792403917655599
JUN	41157	0	0.27563433177475355
KLF4	41157	0	-0.631146911716901
MAFB	41157	0	-0.8125521055625388
MAFG	41157	1	2.5168260914052687
MAX	41157	0	-1.0064401299084382
MEF2A	41157	0	-0.8929032162983856
MYB	41157	0	-0.8635413502481611
MYC	41157	0	-0.8958075347293352
MYCN	41157	0	-0.8142457823722751
NFATC2	41157	0	-0.6408393867411271
NFE2L1	41157	1	2.5530403364161094
NFE2L2	41157	0	-0.7181154028422303
NFIC	41157	1	2.5342482062090976
NFIL3	41157	0	-0.9838709728435782
NFKB1	41157	0	-0.8320883822248335
NFYA	41157	1	3.0853899944330037
NKX2-5	41157	0	-0.6722085333949446
NKX3-1	41157	0	-0.6802349141107316
NR1H2	41157	0	-0.9246248821792784
NR2E3	41157	1	2.3137166119474113
NR2F1	41157	0	-0.9169452529618862
NR3C1	41157	0	-0.8901918081735756
NR4A2	41157	0	-0.9506003770395308
PAX5	41157	1	3.1161389283829064
PAX6	41157	0	-0.7502637117036728
PBX1	41157	0	-0.8281121562379005
POU5F1	41157	0	-0.9842740439580127
PPARG	41157	0	-0.8687208208649154
PRRX2	41157	0	-0.9160809981341944
REL	41157	0	-0.9712380523709089
RELA	41157	0	-0.598178880808489
RORA	41157	0	-0.9592765643665362
RUNX1	41157	0	-0.7048913201412502
RXRA	41157	0	-1.0650040927566606
SOX10	41157	1	2.3566736085526268
SOX2	41157	0	-0.9251690875826527
SOX5	41157	0	-0.8737670375056793
SP1	41157	1	3.1473662134311255
