"pollinator","plant","interactions"
"1","Adela.purpurea","Salix.fragilis",20
"2","Adela.purpurea","Chamaedaphne.calyculata",0
"3","Adela.purpurea","Nemopanthus.mucronata",0
"4","Adela.purpurea","Andromeda.glaucophylla",0
"5","Adela.purpurea","Kalmia.polifolia",0
"6","Adela.purpurea","Smilacina.trifolia",0
"7","Adela.purpurea","Vaccinium.myrtilloides",0
"8","Adela.purpurea","Aronia.melanocarpa",0
"9","Adela.purpurea","Ledum.groenlandicum",0
"10","Adela.purpurea","Gaylussacia.baccata",0
"11","Adela.purpurea","Kalmia.angustifolia",0
"12","Adela.purpurea","Calopogon.pulchellus",0
"13","Adela.purpurea","Spiraea.alba",0
"14","Thymelicus.lineola","Salix.fragilis",0
"15","Thymelicus.lineola","Chamaedaphne.calyculata",0
"16","Thymelicus.lineola","Nemopanthus.mucronata",0
"17","Thymelicus.lineola","Andromeda.glaucophylla",0
"18","Thymelicus.lineola","Kalmia.polifolia",0
"19","Thymelicus.lineola","Smilacina.trifolia",0
"20","Thymelicus.lineola","Vaccinium.myrtilloides",0
"21","Thymelicus.lineola","Aronia.melanocarpa",0
"22","Thymelicus.lineola","Ledum.groenlandicum",0
"23","Thymelicus.lineola","Gaylussacia.baccata",0
"24","Thymelicus.lineola","Kalmia.angustifolia",0
"25","Thymelicus.lineola","Calopogon.pulchellus",7
"26","Thymelicus.lineola","Spiraea.alba",3
"27","Macrodactlyus.subspinosus","Salix.fragilis",0
"28","Macrodactlyus.subspinosus","Chamaedaphne.calyculata",0
"29","Macrodactlyus.subspinosus","Nemopanthus.mucronata",0
"30","Macrodactlyus.subspinosus","Andromeda.glaucophylla",0
"31","Macrodactlyus.subspinosus","Kalmia.polifolia",0
"32","Macrodactlyus.subspinosus","Smilacina.trifolia",0
"33","Macrodactlyus.subspinosus","Vaccinium.myrtilloides",0
"34","Macrodactlyus.subspinosus","Aronia.melanocarpa",0
"35","Macrodactlyus.subspinosus","Ledum.groenlandicum",0
"36","Macrodactlyus.subspinosus","Gaylussacia.baccata",0
"37","Macrodactlyus.subspinosus","Kalmia.angustifolia",0
"38","Macrodactlyus.subspinosus","Calopogon.pulchellus",0
"39","Macrodactlyus.subspinosus","Spiraea.alba",15
"40","Cyphon.variabilis","Salix.fragilis",37
"41","Cyphon.variabilis","Chamaedaphne.calyculata",0
"42","Cyphon.variabilis","Nemopanthus.mucronata",0
"43","Cyphon.variabilis","Andromeda.glaucophylla",0
"44","Cyphon.variabilis","Kalmia.polifolia",0
"45","Cyphon.variabilis","Smilacina.trifolia",0
"46","Cyphon.variabilis","Vaccinium.myrtilloides",0
"47","Cyphon.variabilis","Aronia.melanocarpa",0
"48","Cyphon.variabilis","Ledum.groenlandicum",0
"49","Cyphon.variabilis","Gaylussacia.baccata",0
"50","Cyphon.variabilis","Kalmia.angustifolia",0
"51","Cyphon.variabilis","Calopogon.pulchellus",0
"52","Cyphon.variabilis","Spiraea.alba",0
"53","Hybomitra.minuscula","Salix.fragilis",0
"54","Hybomitra.minuscula","Chamaedaphne.calyculata",0
"55","Hybomitra.minuscula","Nemopanthus.mucronata",0
"56","Hybomitra.minuscula","Andromeda.glaucophylla",0
"57","Hybomitra.minuscula","Kalmia.polifolia",0
"58","Hybomitra.minuscula","Smilacina.trifolia",0
"59","Hybomitra.minuscula","Vaccinium.myrtilloides",0
"60","Hybomitra.minuscula","Aronia.melanocarpa",0
"61","Hybomitra.minuscula","Ledum.groenlandicum",0
"62","Hybomitra.minuscula","Gaylussacia.baccata",0
"63","Hybomitra.minuscula","Kalmia.angustifolia",0
"64","Hybomitra.minuscula","Calopogon.pulchellus",0
"65","Hybomitra.minuscula","Spiraea.alba",12
"66","Hybomitra.typhus","Salix.fragilis",0
"67","Hybomitra.typhus","Chamaedaphne.calyculata",0
"68","Hybomitra.typhus","Nemopanthus.mucronata",0
"69","Hybomitra.typhus","Andromeda.glaucophylla",0
"70","Hybomitra.typhus","Kalmia.polifolia",0
"71","Hybomitra.typhus","Smilacina.trifolia",0
"72","Hybomitra.typhus","Vaccinium.myrtilloides",0
"73","Hybomitra.typhus","Aronia.melanocarpa",0
"74","Hybomitra.typhus","Ledum.groenlandicum",0
"75","Hybomitra.typhus","Gaylussacia.baccata",1
"76","Hybomitra.typhus","Kalmia.angustifolia",13
"77","Hybomitra.typhus","Calopogon.pulchellus",0
"78","Hybomitra.typhus","Spiraea.alba",0
"79","Dilophus.caurinus","Salix.fragilis",0
"80","Dilophus.caurinus","Chamaedaphne.calyculata",0
"81","Dilophus.caurinus","Nemopanthus.mucronata",87
"82","Dilophus.caurinus","Andromeda.glaucophylla",0
"83","Dilophus.caurinus","Kalmia.polifolia",0
"84","Dilophus.caurinus","Smilacina.trifolia",0
"85","Dilophus.caurinus","Vaccinium.myrtilloides",0
"86","Dilophus.caurinus","Aronia.melanocarpa",0
"87","Dilophus.caurinus","Ledum.groenlandicum",0
"88","Dilophus.caurinus","Gaylussacia.baccata",0
"89","Dilophus.caurinus","Kalmia.angustifolia",0
"90","Dilophus.caurinus","Calopogon.pulchellus",0
"91","Dilophus.caurinus","Spiraea.alba",0
"92","Spilogona.fatima","Salix.fragilis",1
"93","Spilogona.fatima","Chamaedaphne.calyculata",7
"94","Spilogona.fatima","Nemopanthus.mucronata",4
"95","Spilogona.fatima","Andromeda.glaucophylla",0
"96","Spilogona.fatima","Kalmia.polifolia",0
"97","Spilogona.fatima","Smilacina.trifolia",1
"98","Spilogona.fatima","Vaccinium.myrtilloides",0
"99","Spilogona.fatima","Aronia.melanocarpa",0
"100","Spilogona.fatima","Ledum.groenlandicum",0
"101","Spilogona.fatima","Gaylussacia.baccata",0
"102","Spilogona.fatima","Kalmia.angustifolia",0
"103","Spilogona.fatima","Calopogon.pulchellus",0
"104","Spilogona.fatima","Spiraea.alba",0
"105","Shaerophoria.sp.","Salix.fragilis",0
"106","Shaerophoria.sp.","Chamaedaphne.calyculata",1
"107","Shaerophoria.sp.","Nemopanthus.mucronata",0
"108","Shaerophoria.sp.","Andromeda.glaucophylla",0
"109","Shaerophoria.sp.","Kalmia.polifolia",0
"110","Shaerophoria.sp.","Smilacina.trifolia",2
"111","Shaerophoria.sp.","Vaccinium.myrtilloides",0
"112","Shaerophoria.sp.","Aronia.melanocarpa",8
"113","Shaerophoria.sp.","Ledum.groenlandicum",4
"114","Shaerophoria.sp.","Gaylussacia.baccata",0
"115","Shaerophoria.sp.","Kalmia.angustifolia",0
"116","Shaerophoria.sp.","Calopogon.pulchellus",0
"117","Shaerophoria.sp.","Spiraea.alba",0
"118","Pyrophaena.rosarum","Salix.fragilis",0
"119","Pyrophaena.rosarum","Chamaedaphne.calyculata",0
"120","Pyrophaena.rosarum","Nemopanthus.mucronata",2
"121","Pyrophaena.rosarum","Andromeda.glaucophylla",0
"122","Pyrophaena.rosarum","Kalmia.polifolia",0
"123","Pyrophaena.rosarum","Smilacina.trifolia",6
"124","Pyrophaena.rosarum","Vaccinium.myrtilloides",0
"125","Pyrophaena.rosarum","Aronia.melanocarpa",0
"126","Pyrophaena.rosarum","Ledum.groenlandicum",1
"127","Pyrophaena.rosarum","Gaylussacia.baccata",0
"128","Pyrophaena.rosarum","Kalmia.angustifolia",1
"129","Pyrophaena.rosarum","Calopogon.pulchellus",0
"130","Pyrophaena.rosarum","Spiraea.alba",1
"131","Melanostoma.sp.","Salix.fragilis",0
"132","Melanostoma.sp.","Chamaedaphne.calyculata",1
"133","Melanostoma.sp.","Nemopanthus.mucronata",15
"134","Melanostoma.sp.","Andromeda.glaucophylla",0
"135","Melanostoma.sp.","Kalmia.polifolia",0
"136","Melanostoma.sp.","Smilacina.trifolia",9
"137","Melanostoma.sp.","Vaccinium.myrtilloides",0
"138","Melanostoma.sp.","Aronia.melanocarpa",1
"139","Melanostoma.sp.","Ledum.groenlandicum",0
"140","Melanostoma.sp.","Gaylussacia.baccata",0
"141","Melanostoma.sp.","Kalmia.angustifolia",0
"142","Melanostoma.sp.","Calopogon.pulchellus",0
"143","Melanostoma.sp.","Spiraea.alba",0
"144","Sercomyia.transversa","Salix.fragilis",0
"145","Sercomyia.transversa","Chamaedaphne.calyculata",0
"146","Sercomyia.transversa","Nemopanthus.mucronata",0
"147","Sercomyia.transversa","Andromeda.glaucophylla",0
"148","Sercomyia.transversa","Kalmia.polifolia",4
"149","Sercomyia.transversa","Smilacina.trifolia",0
"150","Sercomyia.transversa","Vaccinium.myrtilloides",1
"151","Sercomyia.transversa","Aronia.melanocarpa",0
"152","Sercomyia.transversa","Ledum.groenlandicum",2
"153","Sercomyia.transversa","Gaylussacia.baccata",23
"154","Sercomyia.transversa","Kalmia.angustifolia",2
"155","Sercomyia.transversa","Calopogon.pulchellus",0
"156","Sercomyia.transversa","Spiraea.alba",0
"157","Eristalis.dimidiata","Salix.fragilis",0
"158","Eristalis.dimidiata","Chamaedaphne.calyculata",0
"159","Eristalis.dimidiata","Nemopanthus.mucronata",0
"160","Eristalis.dimidiata","Andromeda.glaucophylla",0
